Technology combinations:,"['E1', 'P', 'E2']","['E1', 'P']",['E1'],"['E1', 'E2']","['BP', 'P', 'E2']","['BP', 'P']",['BP'],"['BP', 'E2']","['P', 'E2']",['E2'],['P'],['N']
#,x,y,2007,2008,2009,2010,2011,2012,2013,2014,2015,2007,2008,2009,2010,2011,2012,2013,2014,2015,2007,2008,2009,2010,2011,2012,2013,2014,2015
19,2.289,41.613,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.375,50.98,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-3.766,40.234,"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,172675.63286,179503.340603,171484.903342,173542.886053,174266.992699,172803.118629,171390.387922,172040.34824,172944.026709
22,8.612,44.907,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.383,50.825,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,174397.850569,183018.101855,172835.334865,175388.167875,176908.763121,175632.104892,174181.420137,174672.435291,174881.122097
24,2.89,48.957,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,10.688,53.873,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,173570.924194,185083.384717,171449.437091,174851.940503,177035.354749,175442.090779,173567.302178,174132.174601,174052.774731
26,8.207,53.147,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,174616.409595,184779.763758,172733.898058,175735.769243,177705.661634,176330.115764,174692.377873,175165.830556,174996.36839
27,-3.612,37.163,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,763444.575341,789037.156618,758803.116662,766381.677681,770907.284177,767125.169733,762822.828426,764273.969467,764867.446349
28,-1.554,54.533,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,26.103,44.44,"['P', 'E2']","['P', 'E2']","['P', 'E2']","['P', 'E2']","['P', 'E2']","['P', 'E2']","['P', 'E2']","['P', 'E2']","['P', 'E2']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,5514737.76459,5680906.39955,5494719.56625,5547351.87677,5583316.61815,5561607.22936,5536753.55194,5551110.61033,5551592.95778
30,21.898,42.55,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,18.506,54.515,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,174480.57928,184449.720564,172641.912165,175587.972399,177485.616077,176111.014435,174490.391273,174975.405231,174890.40036
32,18.245,49.789,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,175732.757871,183653.611573,174267.97977,176607.971691,178132.848236,177053.213019,175772.586007,176147.75842,176040.01755
33,16.297,41.229,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,9.143,39.237,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,470181.270186,488047.373369,466883.726396,472163.005579,475574.41303,473118.648157,470218.605344,471081.536748,470904.409411
35,-0.75,51.409,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4.47,52.17,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,470328.396462,487498.530815,467167.069794,472242.228523,475486.619018,473101.543936,470300.47543,471150.09948,471059.966362
37,-4.052,43.344,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-1.151,46.159,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-8.639,41.045,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4.429,51.295,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12.916,50.823,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,172959.709763,183730.26058,171008.754047,174198.650383,176092.655529,174493.223582,172678.244984,173295.260183,173569.827006
42,-6.146,36.417,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-3.964,55.789,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2.31,49.89,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,175321.900127,184302.595733,173655.853414,176307.885577,178060.013492,176852.907869,175410.456962,175821.993128,175645.363885
45,13.742,51.052,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,1061884.39017,1093231.55486,1056127.98603,1065396.57416,1071253.31528,1066850.3249,1061709.21129,1063299.96507,1063291.32969
46,-1.475,52.522,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8.483,50.138,['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],['E1'],BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,25.62,42.424,"['E1', 'P']",['P'],"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,175457.670979,184079.109558,173859.961757,176406.243543,178080.829706,176916.561542,175528.750522,175928.257149,175776.177204
49,-3.799,40.286,"['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']","['E1', 'P']",BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,BAU,169785.657072,179307.334054,168126.392068,170995.38573,172006.607185,169963.743324,167994.632242,168900.934603,170161.315356
